name,provider,campus,lon,lat,device_ids
西溪西六教学楼南侧,"万充科技",4,120.145644,30.280901,"[18481746,18481755]"
西溪东门启真名苑9幢北侧,"点点畅行",4,120.150306,30.280115,[392742]
西溪东门启真名苑10幢北侧,"点点畅行",4,120.149616,30.280057,"[231657,252408]"
紫金港蓝田北门北-港湾29(待添加),"河狸物联",2,120.089326,30.316550,[77066584]
紫金港港湾家园1号,"电动车充电网",2,120.094563,30.316998,[2512]
紫金港银泉北门校外地下停车场,"点点畅行",2,120.081965,30.314061,"[196330,196331,196332,196333,196334,196335,196336,196337,196338,196339,196340,196341,196342,196343,196344,196345]"
玉泉青芝坞,"多航科技",1,120.127322,30.265159,"[404251,335537,336163,339585]"
紫金港堕落街西,"多航科技",2,120.096100,30.315463,"[352671,352713,352798,352804,362694,352819,352644,352634,349367,352566,352565,352636]"
紫金港堕落街东,"多航科技",2,120.097194,30.315797,"[352805,352639,362692,658214,371149,352690,352685,352625,380526,352616,352673,352674]"
紫金港紫荆花北路西侧,"多航科技",2,120.097813,30.316433,"[352650,352668,658217,352682,352686,352687,352717,352679,352715,352632]"
紫金港北街爱玛,"嘟嘟换电",2,120.089812,30.316134,[24011866]
紫荆花北路台铃,"嘟嘟换电",2,120.097209,30.319523,[23054777]
紫荆花北路雅迪,"嘟嘟换电",2,120.097237,30.319171,[23075627]
紫荆花北路爱玛,"嘟嘟换电",2,120.097213,30.319305,[24021949]
紫荆花北路绿源,"嘟嘟换电",2,120.097251,30.319425,[24021960]
紫金港北街九号,"嘟嘟换电",2,120.090251,30.316191,[23034176]
紫金港剑桥公社B座,"嘟嘟换电",2,120.099940,30.311374,[23023359]
龙湖西溪天街8号楼负一层,"嘟嘟换电",2,120.074140,30.299426,[23065537]
玉泉玉古路中宙摄影,"嘟嘟换电",1,120.133094,30.268920,[25076143]
玉泉东山弄娃哈哈送水店,"嘟嘟换电",1,120.132972,30.265405,[24042149]
紫金港望月社区（待添加）,"专用站点",2,120.096546,30.316221,[0]
玉泉菜鸟驿站南侧,"专用站点",1,120.130126,30.274788,[0]
玉泉智泉大楼北侧,"专用站点",1,120.128800,30.271669,[0]
玉泉民族食堂,"专用站点",1,120.131598,30.273082,[0]
玉泉石虎山基地,"专用站点",1,120.122100,30.268025,[0]
西溪8舍南侧,"专用站点",4,120.146410,30.282354,[0]
西溪西二教学楼北侧,"专用站点",4,120.146506,30.2790195,[0]
玉泉北门,"威可迪换电",1,120.133877,30.2746822,"[929795440021340160]"
